strategy,router,benchmark,status,legal,seconds,baseline_seconds,speedup_vs_nthu_original,total_wirelength,baseline_wirelength,wirelength_delta,total_overflow,baseline_overflow,source_file
nthu_cuda_score,nthu_cuda_score,adaptec1.capo70.3d.35.50.90,ok,no,256.476413,405.391324,1.580618,10368132,5363235,5004897,416,0,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec1_capo70_3d_35_50_90/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec2.mpl60.3d.35.20.100,ok,no,431.454037,161.031596,0.373230,9220932,4857976,4362956,1134,958172,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec2_mpl60_3d_35_20_100/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec3.dragon70.3d.30.50.90,ok,yes,153.841618,424.443420,2.758964,22444948,13158101,9286847,0,0,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec3_dragon70_3d_30_50_90/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec4.aplace60.3d.30.50.90,ok,no,76.515124,113.357922,1.481510,20531111,12207270,8323841,4,0,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec4_aplace60_3d_30_50_90/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec5.mfar50.3d.50.20.100,ok,no,1482.357318,1138.668079,0.768147,29073343,15535357,13537986,3626,0,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec5_mfar50_3d_50_20_100/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue1.capo60.3d.50.10.100,ok,no,608.396276,872.046423,1.433353,11384137,5575865,5808272,11938,0,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue1_capo60_3d_50_10_100/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue2.mpl60.3d.40.60.60,ok,no,408.250911,708.482864,1.735410,14953216,7886236,7066980,3092,1928338,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue2_mpl60_3d_40_60_60/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue3.aplace70.3d.50.10.90.m8,ok,no,1216.304484,585.176830,0.481110,28186378,12282111,15904267,2296,1724140,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue3_aplace70_3d_50_10_90_m8/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue4.fastplace70.3d.80.20.80,ok,no,1271.118382,,,50243988,,,2554,,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue4_fastplace70_3d_80_20_80/summary.csv
nthu_cuda_score,nthu_cuda_score,newblue1.ntup50.3d.30.50.90,ok,no,379.354819,719.402842,1.896385,7908175,4077044,3831131,2668,839522,results/bench16_strategy_matrix_r2/nthu_cuda_score/newblue1_ntup50_3d_30_50_90/summary.csv
