strategy,router,benchmark,status,seconds,evaluator,total_wirelength,total_overflow,max_overflow,overflowed_nets,overflowed_edges,output,source_file
nthu_cuda_score,nthu_cuda_score,adaptec1.capo70.3d.35.50.90,ok,256.476413,lab2-verifier.py,10368132,416,10,2460,163,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec1_capo70_3d_35_50_90/adaptec1.capo70.3d.35.50.90.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec1_capo70_3d_35_50_90/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec2.mpl60.3d.35.20.100,ok,431.454037,lab2-verifier.py,9220932,1134,8,3703,376,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec2_mpl60_3d_35_20_100/adaptec2.mpl60.3d.35.20.100.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec2_mpl60_3d_35_20_100/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec3.dragon70.3d.30.50.90,ok,153.841618,lab2-verifier.py,22444948,0,0,0,0,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec3_dragon70_3d_30_50_90/adaptec3.dragon70.3d.30.50.90.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec3_dragon70_3d_30_50_90/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec4.aplace60.3d.30.50.90,ok,76.515124,lab2-verifier.py,20531111,4,2,30,2,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec4_aplace60_3d_30_50_90/adaptec4.aplace60.3d.30.50.90.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec4_aplace60_3d_30_50_90/summary.csv
nthu_cuda_score,nthu_cuda_score,adaptec5.mfar50.3d.50.20.100,ok,1482.357318,lab2-verifier.py,29073343,3626,16,15066,1135,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec5_mfar50_3d_50_20_100/adaptec5.mfar50.3d.50.20.100.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/adaptec5_mfar50_3d_50_20_100/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue1.capo60.3d.50.10.100,ok,608.396276,lab2-verifier.py,11384137,11938,18,27554,3446,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue1_capo60_3d_50_10_100/bigblue1.capo60.3d.50.10.100.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue1_capo60_3d_50_10_100/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue2.mpl60.3d.40.60.60,ok,408.250911,lab2-verifier.py,14953216,3092,16,7333,940,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue2_mpl60_3d_40_60_60/bigblue2.mpl60.3d.40.60.60.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue2_mpl60_3d_40_60_60/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue3.aplace70.3d.50.10.90.m8,ok,1216.304484,lab2-verifier.py,28186378,2296,18,5674,466,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue3_aplace70_3d_50_10_90_m8/bigblue3.aplace70.3d.50.10.90.m8.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue3_aplace70_3d_50_10_90_m8/summary.csv
nthu_cuda_score,nthu_cuda_score,bigblue4.fastplace70.3d.80.20.80,ok,1271.118382,lab2-verifier.py,50243988,2554,16,7663,497,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue4_fastplace70_3d_80_20_80/bigblue4.fastplace70.3d.80.20.80.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/bigblue4_fastplace70_3d_80_20_80/summary.csv
nthu_cuda_score,nthu_cuda_score,newblue1.ntup50.3d.30.50.90,ok,379.354819,lab2-verifier.py,7908175,2668,16,3685,693,/home/u3961564/hpc-final-router/results/bench16_strategy_matrix_r2/nthu_cuda_score/newblue1_ntup50_3d_30_50_90/newblue1.ntup50.3d.30.50.90.nthu.out,results/bench16_strategy_matrix_r2/nthu_cuda_score/newblue1_ntup50_3d_30_50_90/summary.csv
